territory,habitat,hectare,country,hectare_UpperCI,hectare_LowerCI,stock_MgHa_mean,n,stock_MgHa_se,stock_MgHa_upper_CI,stock_MgHa_lower_CI,n_sites,TierIII_mean,TierIII_LowerCI,TierIII_UpperCI,tierII_gtlt_tier_I,tier_II_overlaps_TierI,tierIII_gtlt_tier_II,tierII_overlaps_tierIII,tierIII_gtlt_tier_I,tierIII_overlaps_tierI,text_position,TierI_mean,TierI_LowerCI,TierI_UpperCI,compiled_EF,compiled_UpperCI,compiled_LowerCI,TierIorII,Total_Stocks,Total_Stocks_se,Total_Stocks_UpperCI,Total_Stocks_LowerCI,Total_SE,Total_Stockers_UpperCI,Total_Stockers_LowerCI
Singapore,marsh,0,Singapore,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Singapore,seagrass,33.7,Singapore,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,3639.6000000000004,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,mangrove,0,Bosnia and Herzegovina,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,marsh,636.2995038603182,Bosnia and Herzegovina,719.3264814820313,385.4136366990543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,162256.37348438113,22815.253702467595,206061.6605931189,118451.08637564335,NA,NA,NA
Bosnia and Herzegovina,seagrass,NA,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Belgium,mangrove,0,Belgium,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Belgium,marsh,680.5881743058026,Belgium,769.3941198941163,412.2397735063324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,173549.98444797966,24403.275139272802,220404.27271538344,126695.69618057588,NA,NA,NA
Belgium,seagrass,NA,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,mangrove,27.14599829063266,United States,31.469676794814184,23.83590985132509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,10478.355340184207,905.8680330485596,12217.62196363744,8739.088716730974,NA,NA,NA
Northern Mariana Islands,marsh,0,United States,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,seagrass,670,United States,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,72360,NA,NA,NA,NA,NA,NA
Falkland Islands,mangrove,0,United Kingdom,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,0,NA,NA,NA,NA,NA,NA
Falkland Islands,marsh,734.4327710434619,United Kingdom,830.2645811833992,444.8540404032164,965.0193263709987,2,298.88234479023663,NA,NA,1,686.1570038045556,557.2054948439634,815.1085127651479,greater than,Country-specific average is significantly greater than Tier I,less than,Remote-sensing esimate overlaps country-specific average,greater than,Remote-sensing esimate is significantly greater than Tier I,965.0193263709987,255,254,297,965.0193263709987,NA,NA,Tier II,708741.8179771475,NA,NA,NA,NA,NA,NA
Falkland Islands,seagrass,NA,United Kingdom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
Saint Lucia,mangrove,139.16074779770793,Saint Lucia,161.3255739881819,122.19197112724221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,53716.04864991526,4643.825271608329,62632.193171403254,44799.90412842727,NA,NA,NA
Saint Lucia,marsh,0,Saint Lucia,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Saint Lucia,seagrass,665,Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,71820,NA,NA,NA,NA,NA,NA
Curacao,mangrove,78.45165415019912,Netherlands,90.94704028539046,68.88553281375377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,30282.33850197686,2617.9492414898587,35308.80104563739,25255.875958316334,NA,NA,NA
Curacao,marsh,0,Netherlands,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Curacao,seagrass,800,Netherlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,86400,NA,NA,NA,NA,NA,NA
Grenada,mangrove,210.23294316705443,Grenada,243.71779229694897,184.597870649607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,81149.91606248301,7015.520323467568,94619.71508354074,67680.11704142528,NA,NA,NA
Grenada,marsh,0,Grenada,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Grenada,seagrass,709,Grenada,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,76572,NA,NA,NA,NA,NA,NA
Seychelles,mangrove,1089.78067351225,Seychelles,1263.3554752893249,956.8966156060618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,386,351,424,386,424,351,Tier I,420655.3399757285,36366.224759895136,490478.4915147271,350832.18843672983,NA,NA,NA
Seychelles,marsh,0,Seychelles,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,254,297,255,297,254,Tier I,0,NA,NA,NA,NA,NA,NA
Seychelles,seagrass,NA,Seychelles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,84,139,108,139,84,Tier I,NA,NA,NA,NA,NA,NA,NA
